filepath,class_name,display_name,label,extension,format,width,height,mode,sha256,perceptual_hash,is_valid,issue
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,100079e00ccf046c761599235a1a73db03980fa4847b2a2fe8ea4092bca6bf5c,ba84a1def54083f9,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/002a55fb-7a3d-4a3a-aca8-ce2d5ebc6925___RS_Early.B 8170.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,f82d5fed95db82eb2863eb2b236c3d4f0285a20966bd2048fdf12f97d3f4aa5a,a984f5cbc1cce364,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/009c8c31-f22d-4ffd-8f16-189c6f06c577___RS_Early.B 7885.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,15ac0f0ace743361f4645cbb5bc5ff7fb44f72e2dcddbd7b2a5c20268512ddc5,bf97a0349a498ccb,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/00d8f10f-5038-4e0f-bb58-0b885ddc0cc5___RS_Early.B 8722.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,c4949cee5155170fc987d2080323c25b9ef7190770e7df2b4ae7d0c450e7fdb8,a894975ac86de572,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0182e991-97f0-4805-a1f7-6e1b4306d518___RS_Early.B 7015.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,cc5b1868b8acb1e0f0c140e37a1fedf61c96fd4303d8259f90ce7563ca17f845,aae2a58d9999d233,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,a5b86abe59b616942cf0855d472a6f1b753b3d5d95812f3ff6935b6145a93692,8bfcb5c1d00f0a9e,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/0267d4ca-522e-4ca0-b1a2-ce925e5b54a2___RS_Early.B 7020.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,3fdce534a556378a718e002d842f785012d86b86bbd36a16fb1813cd1350b92c,de72e2ca9daa1225,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/028f9b73-142f-499a-9c7b-d7c1ed5e5506___RS_Early.B 8546.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,cffafea78a90fc3e6bd419a36942a387720f8f649dedd5c8fc00bf9bdc6ccd7c,aa15ff17c86a8570,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/034959c1-f1e8-4a79-a6d5-3c1d14efa2f3___RS_Early.B 7136.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,83b0d685bb113b8ab25717da3b2ecdd8fb8775e7160ec698267d89a7ef93e8c4,d5aa8a9cc7d4ca43,True,
/Users/amangadhiya/Desktop/ML Projects/Potato Disease/archive/Potato___Early_blight/03b0d3c1-b5b0-48f4-98aa-f8904670290f___RS_Early.B 7051.JPG,Potato___Early_blight,Early Blight,0,.jpg,JPEG,256,256,RGB,4951cb91537bcc5a40a5a9e0d863e6b574fb72cae925ae866c9b3680effad183,8a1c3e1eed4aa473,True,
